Normalización,Vectorizador,Modelo,F1_macro,Parámetros óptimos
lemas_y_stopwords,lemas_y_stopwords__binario__unigramas.pkl,LogisticRegression,0.5848154994859625,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__binario__unigramas.pkl,SVM,0.5826005147731224,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__binario__uni_bi.pkl,NaiveBayes,0.5702927275245269,{'alpha': 1.0}
lemas_y_stopwords,lemas_y_stopwords__binario__uni_bi.pkl,LogisticRegression,0.5502246477539424,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__binario__uni_bi.pkl,SVM,0.5765609665644413,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__bigramas.pkl,NaiveBayes,0.353862592425746,{'alpha': 1.0}
lemas_y_stopwords,lemas_y_stopwords__frecuencia__bigramas.pkl,LogisticRegression,0.44108634985687517,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__bigramas.pkl,SVM,0.45758895551645296,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__trigramas.pkl,NaiveBayes,0.2765600479123413,{'alpha': 1.0}
lemas_y_stopwords,lemas_y_stopwords__frecuencia__trigramas.pkl,LogisticRegression,0.4240659184752003,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__trigramas.pkl,SVM,0.4289022618408043,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__unigramas.pkl,NaiveBayes,0.6067496120561436,{'alpha': 1.0}
lemas_y_stopwords,lemas_y_stopwords__frecuencia__unigramas.pkl,LogisticRegression,0.5864120791958549,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__unigramas.pkl,SVM,0.5844324426571784,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__uni_bi.pkl,NaiveBayes,0.5699892398222881,{'alpha': 1.0}
lemas_y_stopwords,lemas_y_stopwords__frecuencia__uni_bi.pkl,LogisticRegression,0.5580240585854261,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__frecuencia__uni_bi.pkl,SVM,0.5732710859904215,"{'C': 1.0, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__tfidf__bigramas.pkl,NaiveBayes,0.4358949020940508,{'alpha': 0.5}
lemas_y_stopwords,lemas_y_stopwords__tfidf__bigramas.pkl,LogisticRegression,0.4257947781146722,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__tfidf__bigramas.pkl,SVM,0.4374246527927025,"{'C': 10, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__tfidf__trigramas.pkl,NaiveBayes,0.4224228619628579,{'alpha': 0.5}
lemas_y_stopwords,lemas_y_stopwords__tfidf__trigramas.pkl,LogisticRegression,0.4187590855394648,"{'C': 10, 'solver': 'liblinear'}"
lemas_y_stopwords,lemas_y_stopwords__tfidf__trigramas.pkl,SVM,0.4257947781146722,"{'C': 10, 'kernel': 'linear'}"
lemas_y_stopwords,lemas_y_stopwords__tfidf__unigramas.pkl,NaiveBayes,0.5936153952968496,{'alpha': 0.1}
lemas_y_stopwords,lemas_y_stopwords__tfidf__unigramas.pkl,LogisticRegression,0.5483272634564461,"{'C': 10, 'solver': 'liblinear'}"
